iter	Passed	Remaining
0	150	150313
1	152	76287
2	154	51320
3	156	38983
4	157	31440
5	159	26433
6	161	22841
7	162	20168
8	164	18070
9	166	16500
10	168	15149
11	170	14022
12	171	13055
13	174	12267
14	175	11549
15	177	10907
16	178	10349
17	183	9985
18	184	9545
19	186	9147
20	188	8768
21	189	8430
22	191	8124
23	192	7837
24	194	7574
25	196	7343
26	197	7112
27	199	6915
28	200	6726
29	202	6540
30	203	6367
31	205	6206
32	206	6054
33	207	5909
34	209	5775
35	211	5662
36	213	5551
37	214	5437
38	216	5326
39	217	5222
40	219	5126
41	220	5034
42	222	4942
43	223	4856
44	225	4778
45	227	4709
46	228	4634
47	229	4560
48	231	4493
49	233	4429
50	234	4365
51	235	4300
52	237	4240
53	238	4182
54	240	4137
55	242	4084
56	243	4029
57	244	3977
58	246	3928
59	247	3879
60	248	3832
61	250	3786
62	251	3742
63	252	3700
64	254	3659
65	256	3627
66	257	3589
67	259	3552
68	260	3516
69	261	3480
70	263	3446
71	264	3412
72	266	3379
73	267	3347
74	269	3319
75	271	3296
76	272	3268
77	273	3237
78	275	3209
79	276	3182
80	278	3154
81	279	3128
82	280	3102
83	282	3077
84	283	3052
85	284	3028
86	286	3010
87	288	2987
88	289	2966
89	291	2944
90	292	2921
91	293	2898
92	294	2876
93	296	2856
94	297	2837
95	299	2817
96	300	2801
97	302	2785
98	304	2769
99	305	2751
100	306	2732
101	308	2715
102	309	2699
103	311	2684
104	313	2668
105	314	2651
106	316	2640
107	317	2625
108	319	2608
109	320	2592
110	321	2576
111	323	2561
112	324	2546
113	325	2532
114	327	2517
115	328	2502
116	329	2490
117	331	2479
118	333	2466
119	334	2453
120	335	2439
121	337	2426
122	338	2412
123	340	2405
124	342	2395
125	343	2384
126	345	2376
127	347	2367
128	349	2357
129	350	2347
130	352	2337
131	353	2327
132	355	2318
133	357	2312
134	359	2305
135	362	2302
136	364	2293
137	365	2284
138	367	2275
139	369	2267
140	370	2257
141	372	2249
142	373	2241
143	375	2233
144	377	2227
145	379	2218
146	380	2209
147	382	2201
148	384	2194
149	386	2187
150	387	2180
151	389	2172
152	391	2167
153	393	2160
154	394	2148
155	395	2141
156	397	2134
157	399	2126
158	400	2119
159	402	2112
160	404	2105
161	406	2100
162	408	2095
163	409	2088
164	411	2081
165	413	2077
166	415	2070
167	415	2058
168	417	2050
169	418	2044
170	420	2037
171	422	2033
172	424	2027
173	425	2021
174	427	2014
175	428	2007
176	430	2001
177	431	1994
178	433	1988
179	435	1981
180	437	1977
181	438	1972
182	440	1966
183	442	1962
184	444	1956
185	445	1950
186	447	1944
187	448	1938
188	450	1932
189	452	1929
190	454	1924
191	455	1918
192	457	1912
193	459	1907
194	460	1901
195	462	1895
196	463	1889
197	465	1884
198	466	1879
199	468	1875
200	470	1870
201	472	1864
202	473	1859
203	475	1854
204	476	1849
205	478	1843
206	479	1838
207	481	1833
208	483	1830
209	485	1825
210	486	1820
211	488	1815
